code_module,code_presentation,id_student,assessments_submitted_cutoff,avg_assessment_score_cutoff,sum_weighted_score_cutoff,latest_submit_day_cutoff
AAA,2013J,11391,2,81.5,24.8,53
AAA,2013J,28400,2,69.0,20.6,52
AAA,2013J,31604,2,71.5,21.400000000000002,51
AAA,2013J,32885,2,49.5,12.9,75
AAA,2013J,38053,2,74.0,21.700000000000003,64
AAA,2013J,45462,2,67.5,20.0,54
AAA,2013J,45642,2,72.0,21.6,57
AAA,2013J,52130,2,70.0,20.8,54
AAA,2013J,53025,2,75.5,23.1,52
AAA,2013J,57506,2,72.0,22.0,53
AAA,2013J,58873,2,73.5,22.1,54
AAA,2013J,59185,2,69.0,20.900000000000002,53
AAA,2013J,62155,2,79.0,24.3,50
AAA,2013J,63400,2,62.5,16.700000000000003,54
AAA,2013J,65002,2,67.0,20.200000000000003,51
AAA,2013J,70464,2,59.5,17.9,52
AAA,2013J,71361,2,84.0,25.4,53
AAA,2013J,74372,2,39.0,9.6,54
AAA,2013J,75091,2,66.5,19.900000000000002,52
AAA,2013J,77367,2,74.5,22.5,54
AAA,2013J,91265,2,74.5,22.3,64
AAA,2013J,94961,1,74.0,7.4,17
AAA,2013J,98094,2,60.5,18.0,49
AAA,2013J,100893,2,65.5,19.900000000000002,50
AAA,2013J,101781,2,74.0,21.200000000000003,52
AAA,2013J,102806,2,83.0,25.2,54
AAA,2013J,102952,2,73.0,21.6,52
AAA,2013J,104476,2,81.5,24.1,62
AAA,2013J,106247,2,66.5,19.900000000000002,64
AAA,2013J,106577,2,54.0,15.900000000000002,54
AAA,2013J,110175,2,63.5,18.8,55
AAA,2013J,111717,1,80.0,8.0,10
AAA,2013J,113295,2,79.0,23.5,61
AAA,2013J,114017,2,71.0,21.8,53
AAA,2013J,114999,2,76.5,23.200000000000003,52
AAA,2013J,116541,2,71.0,20.8,75
AAA,2013J,116692,2,74.5,22.6,47
AAA,2013J,118983,2,68.0,19.900000000000002,54
AAA,2013J,123044,2,73.5,21.9,54
AAA,2013J,127582,2,67.5,20.1,61
AAA,2013J,129955,2,83.5,24.900000000000002,54
AAA,2013J,132976,2,64.0,19.3,53
AAA,2013J,134143,2,85.0,25.300000000000004,53
AAA,2013J,135400,2,61.5,17.400000000000002,49
AAA,2013J,137873,2,76.5,23.4,54
AAA,2013J,141355,2,75.5,22.5,54
AAA,2013J,141377,1,45.0,4.5,54
